"TABLE 9-6. Employed scientists and engineers, by highest degree level, occupation, ethnicity, and race: 2013",,,,,,,,,
,,,,Not Hispanic or Latino,,,,,
Highest degree and occupation,"All ethnicitiesand races","Hispanic or Latinoa",,"American Indian orAlaska Native",Asian,Black or African American,"Native Hawaiian or Other Pacific Islander",White ,"More than one race"
,89964,54244,15788,7800,9432,328,366,2006,
All degreesb                                      ,"23,219,000","1,757,000",,"68,000","2,646,000","1,450,000","74,000","16,866,000","358,000"
, ,,,,,,,,
S&E occupations                                ,"5,642,000","341,000",,"11,000","966,000","268,000","12,000","3,961,000","83,000"
, ,,,,,,,,
Science occupations                                    ,"4,104,000","240,000",,"8,000","748,000","212,000","7,000","2,826,000","64,000"
Biological/life scientist                  ,"625,000","41,000",,"1,000","114,000","18,000","1,000","441,000","8,000"
Agricultural/food scientist              ,"69,000","3,000",,D,"10,000","3,000",D,"52,000","1,000"
Biological/medical scientist             ,"437,000","33,000",,"1,000","94,000","12,000","1,000","291,000","5,000"
Forestry and conservation scientist      ,"33,000","1,000",,D,*,D,D,"31,000",S
Postsecondary teacher                    ,"87,000","5,000",,*,"9,000","3,000",D,"68,000","2,000"
,,,,,,,,,
Computer and information scientist         ,"2,387,000","123,000",,"2,000","513,000","147,000","5,000","1,560,000","38,000"
Computer/information scientist           ,"2,363,000","123,000",,"1,000","509,000","146,000","5,000","1,543,000","37,000"
Postsecondary teacher                    ,"25,000","1,000",,D,"5,000","1,000",D,"17,000",S
,,,,,,,,,
Mathematical scientist                     ,"206,000","18,000",,*,"34,000","10,000",D,"142,000","2,000"
Mathematical scientist                   ,"125,000","14,000",,*,"22,000","5,000",D,"82,000","2,000"
Postsecondary teacher                    ,"81,000","4,000",,D,"12,000","5,000",D,"60,000",S
,,,,,,,,,
Physical scientist                         ,"312,000","15,000",,*,"47,000","11,000",*,"234,000","4,000"
"Chemist, except biochemist               ","103,000","6,000",,D,"21,000","6,000",*,"70,000","1,000"
Earth scientist/geologist/oceanographer  ,"68,000","3,000",,*,"5,000","1,000",D,"59,000","1,000"
Physicist/astronomer                     ,"34,000","2,000",,D,"6,000",*,D,"25,000","1,000"
Other physical scientist                 ,"45,000","2,000",,D,"5,000","2,000",D,"35,000",*
Postsecondary teacher                    ,"61,000","3,000",,D,"10,000","2,000",D,"44,000","1,000"
,,,,,,,,,
Psychologist                               ,"248,000","25,000",,S,"8,000","9,000",*,"197,000","7,000"
